address,NFT_vol_traded,NFT_vol_class,DEX.TRADES
\x6d9104f626d7f4145dda92cf06c336f82f2135e7,0,0,0
\xe1f21ad5246a5b484c4925b26fa9cc77e4b99cda,0,0,0
\xb141803cad1cd0dffd9c84baf688c10c25f3a573,0,0,0
\x0c5babf16b3d6b265127b510d8700ce9b4247e20,0,0,0
\xc2332295cfbcd03531a77b00a019f39335ab8d43,0,0,0
\x327b9dee1830f8201efa751fd96f7b1ad0b300a1,0,0,0
\x24ca879e3f09e21cb3fe349e4faf56a8ff35779a,0,0,0
\x11c7ab8fb48077ec098b7eebb0781397d875236c,0,0,0
\x759320ecd4146a597ab703427b9936f34f741938,0,0,0
\xa2e7002e0ffc42e4228292d67c13a81fdd191870,0,0,0
\x4d3875545893e21bae6f1e0ab137cc2d9451bfcc,0,0,0
\xf1bc6674b2ca160361f73037a544f5173ad639aa,0,0,0
\x72b2cb558bf17f9e5aa40754a4e26ec480c07554,0,0,0
\x03a5bdbd5a37ee782e9203811d227342c3fcfb73,0,0,0
\x094e4b82a5722271546cca99c8c351bd840669ae,0,0,0
\x3eb72a65f9322d3f30167cff9fc9fcbb23d61cfd,0,0,0
\x84e0ad8e8ff4aa9e866ddcf1aecdf5754cb4ba97,0,0,2.727272727
\xb7ca8db84717c98dcf59be2b3a612e75ef5d54b0,0,0,0
\xd89fe1ed2b0bac7a27de004de595c0e43280ea69,0,0,0
\x0e20f1b901b56c8ac091111ed4ed4f8ba65432a4,0,0,0
\xeba06532a72bec44a1d33130aaa7c45c31e502f6,0,0,0
\x85684c11fd750506cd8783a7cdc19bc583ce62f8,0,0,2
\x8ce5da80ec7723fc2744af30f118dfcf88dd2c6d,0,0,0
\x6f24ce49bc95841d7629e3714cf80c7f9dbb43bb,0,0,0
\x8e279ea2c45c189558617a6067ead0accda7b9b0,0,0,0
\xa3b0d8a6227fd2a493cc8306ce3e1e1335342433,0,0,0
\xa2f1356191ca07dcc50c03465bcec0ec25089501,0,0,0
\x62f304b281b05434f1cfdd909dfd318fc443ff5e,0,0,0
\x9d0282c49f309550691dd9d230613815f8245671,0,0,0
\x842fcd1d99c0c3469022a51685dada5afa91a4e2,0,0,0
\x06a6e2c10f21ad2aa84b404fbdd4d0121e9a277e,0,0,0
\x520fe46a22aa0420ecb6ae10d2324da6ab41a89b,0,0,0
\xb328a96c16dd5598df8ba4570fdfa97b503115c4,0,0,0
\xd8c19b45061b8fc74136c06ee5cb464e6aa7cbba,0,0,0
\xc0c2429b8008b35ded73b53aca235c1d5591c412,0,0,0
\x9526818a8f5d997652c213a28cc532cf6b709aa4,0,0,0
\x1f41219828d15fc06786aea5026597fba6247195,0,0,0
\x38430336153468dcf36af5cea7d6bc472425633a,0,0,0
\xac18554be093f4cc4d86ec996fc5ffa8ea14ab27,0,0,0
\x48a49bc007416c066bbf0b1e2be277919338f722,0,0,0
\x78c0a25ccc21604b3d117100de7c9523f53236c7,0,0,0
\x235307cd9a152d06dc6bf9d665084cba109653e6,0,0,0
\x7c7fb6846e7633342eeef5bd236b54dd511dac30,0,0,0
\x81d6d74103ea8a46382435de0816c8ab6527a0d0,0,0,0
\x0bebe2165de412e7925ab8352e36f3b0493dd3b9,13775.66451,10K+,2
\x76a81325e0bdc64d5f1e28ecf8f6881cbe32cd20,0,0,0
\xb7562f12e41c762cecda99d62bd6eac7b0c3b4c1,0,0,0
\x5f4ef5c539a56291665fcca4e6b7a6446ad11cc1,0,0,0
\xa888f9f1df01c65d7b164f4e3368f482eda0ee8a,0,0,0
\x49a1a06e90cc1b80f005000da8c9cad57dc659ea,0,0,0
\xd949eb4ad3287ebafe9c518ce8a4a4aaf52340ef,0,0,0
\xa726d68fa1ea7e30caa3de2cdb2803f186b7f64d,0,0,2
\x7c416ebf039c492829d12f5bff7ebb05b4464cb6,0,0,0
\x1788402dd29ca037d11ad4b07a075bf72d862c2c,0,0,0
\xfcba0693fc16dcb2a4e8fa7ed3da31f5296993e4,0,0,0
\x124d05e1cf1316141463224e3b9a9592044ee325,6942.759573,2.5K-10K,2
\xc79a3019c824e512bc7c6f2d64c0ccac5308a020,0,0,0
\x8f97c9ba31097e5c0f96a492ecfdbf92be5b4126,0,0,0
\x8ed876fded3699c590be3e12cef56e23376eff3b,0,0,0
\x08b7ab9bbc3a07cf7f75b4acec5b536b7e040cfc,0,0,0
\x8c302250f1f5f4a933b7a62b52e998b0a40c3917,0,0,0
\x4bd0ba218b482a391a1e51cf4779ce04b60fd722,0,0,0
\xe8b0016130a38f26c116576a7b13267c9fb11b59,0,0,0
\x2ede0ccebfb3bf307dafc57ff700183391620a69,0,0,0
\xa3bb988e1b551df71c1e785415acb5d02043f934,0,0,0
\xd213f746d52002e3e84517790603018d7fcd2cea,0,0,0
